timestamp,t,e,tk,lp,pc,ft,ap,v,bp1,sp1,bq1,sq1,oi,h,l,_id
,tf,NFO,64012,431.65,28.56,1703044739,,526455,431.80,432.70,30,45,,,,
,tf,NFO,64012,434.10,29.29,1703044739,,,,,,,,,,
,tf,NFO,64012,434.10,29.29,1703044739,,,,,,,,,,
,tf,NFO,64012,433.55,29.13,1703044740,,,,,,,,,,
,tf,NFO,64012,433.55,29.13,1703044740,,,,,,,,,,
,tf,NFO,64012,431.80,28.61,1703044740,429.56,527010,431.40,432.55,,,,,,
,tf,NFO,64012,431.80,28.61,1703044740,429.56,527010,431.40,432.55,,,,,,
,tf,NFO,64012,432.00,28.67,1703044741,,,,,,,,,,
,tf,NFO,64012,432.00,28.67,1703044741,,,,,,,,,,
,tf,NFO,64012,431.65,28.56,1703044742,,,,,,,,,,
,tf,NFO,64012,431.65,28.56,1703044742,,,,,,,,,,
,tf,NFO,64012,432.80,28.91,1703044744,,528045,432.35,433.20,210,120,,,,
,tf,NFO,64012,432.80,28.91,1703044744,,528045,432.35,433.20,210,120,,,,
,tf,NFO,64012,433.45,29.10,1703044745,,,,,,,,,,
,tf,NFO,64012,433.45,29.10,1703044745,,,,,,,,,,
,tf,NFO,64012,433.85,29.22,1703044746,,,,,,,,,,
,tf,NFO,64012,433.85,29.22,1703044746,,,,,,,,,,
,tf,NFO,64012,435.00,29.56,1703044747,,,,,,,,,,
,tf,NFO,64012,435.00,29.56,1703044747,,,,,,,,,,
,tf,NFO,64012,434.60,29.44,1703044748,,,,,,,,,,
,tf,NFO,64012,434.60,29.44,1703044748,,,,,,,,,,
,tf,NFO,64012,433.30,29.05,1703044749,429.58,530655,433.60,434.60,210,,,,,
,tf,NFO,64012,433.30,29.05,1703044749,429.58,530655,433.60,434.60,210,,,,,
,tf,NFO,64012,434.10,29.29,1703044750,,,,,,,,,,
,tf,NFO,64012,434.10,29.29,1703044750,,,,,,,,,,
,tf,NFO,64012,433.15,29.01,1703044751,,,,,,,,,,
,tf,NFO,64012,433.15,29.01,1703044751,,,,,,,,,,
,tf,NFO,64012,435.55,29.72,1703044752,,,,,,,,,,
,tf,NFO,64012,435.55,29.72,1703044752,,,,,,,,,,
,tf,NFO,64012,435.45,29.69,1703044752,,531465,434.00,435.30,15,285,,,,
,tf,NFO,64012,435.45,29.69,1703044752,,531465,434.00,435.30,15,285,,,,
,tf,NFO,64012,434.00,29.26,1703044753,,,,,,,,,,
,tf,NFO,64012,434.00,29.26,1703044753,,,,,,,,,,
,tf,NFO,64012,433.85,29.22,1703044754,,531720,433.85,434.90,30,45,,,,
,tf,NFO,64012,433.85,29.22,1703044754,,531720,433.85,434.90,30,45,,,,
,tf,NFO,64012,433.70,29.17,1703044754,,,,,,,,,,
,tf,NFO,64012,433.70,29.17,1703044754,,,,,,,,,,
,tf,NFO,64012,434.85,29.52,1703044755,,,,,,,,,,
,tf,NFO,64012,434.85,29.52,1703044755,,,,,,,,,,
,tf,NFO,64012,434.75,29.49,1703044756,429.60,532035,434.00,435.15,60,,,,,
,tf,NFO,64012,434.75,29.49,1703044756,429.60,532035,434.00,435.15,60,,,,,
,tf,NFO,64012,435.20,29.62,1703044756,,,,,,,,,,
,tf,NFO,64012,435.20,29.62,1703044756,,,,,,,,,,
,tf,NFO,64012,433.45,29.10,1703044757,,,,,,,,,,
,tf,NFO,64012,433.45,29.10,1703044757,,,,,,,,,,
,tf,NFO,64012,434.25,29.34,1703044758,,,,,,,,,,
,tf,NFO,64012,434.25,29.34,1703044758,,,,,,,,,,
,tf,NFO,64012,434.80,29.50,1703044759,,533325,433.80,434.95,90,75,,,,
,tf,NFO,64012,434.80,29.50,1703044759,,533325,433.80,434.95,90,75,,,,
,tf,NFO,64012,434.50,29.41,1703044759,,,,,,,,,,
,tf,NFO,64012,434.50,29.41,1703044759,,,,,,,,,,
,tf,NFO,64012,433.10,28.99,1703044760,,,,,,,,,,
,tf,NFO,64012,433.10,28.99,1703044760,,,,,,,,,,
,tf,NFO,64012,432.65,28.86,1703044761,,,,,,,,,,
,tf,NFO,64012,432.65,28.86,1703044761,,,,,,,,,,
,tf,NFO,64012,432.85,28.92,1703044763,,,,,,,,,,
,tf,NFO,64012,432.85,28.92,1703044763,,,,,,,,,,
,tf,NFO,64012,431.65,28.56,1703044764,429.62,534660,431.10,431.95,,180,,,,
,tf,NFO,64012,431.65,28.56,1703044764,429.62,534660,431.10,431.95,,180,,,,
,tf,NFO,64012,431.10,28.40,1703044765,,,,,,,,,,
,tf,NFO,64012,431.10,28.40,1703044765,,,,,,,,,,
,tf,NFO,64012,432.95,28.95,1703044766,,534915,432.00,432.95,45,135,,,,
,tf,NFO,64012,432.95,28.95,1703044766,,534915,432.00,432.95,45,135,,,,
,tf,NFO,64012,433.05,28.98,1703044766,,,,,,,,,,
,tf,NFO,64012,433.05,28.98,1703044766,,,,,,,,,,
,tf,NFO,64012,433.95,29.25,1703044768,,,,,,,,,,
,tf,NFO,64012,433.95,29.25,1703044768,,,,,,,,,,
,tf,NFO,64012,433.35,29.07,1703044769,,535200,431.65,432.45,15,150,,,,
,tf,NFO,64012,433.35,29.07,1703044769,,535200,431.65,432.45,15,150,,,,
,tf,NFO,64012,433.30,29.05,1703044770,,,,,,,,,,
,tf,NFO,64012,433.30,29.05,1703044770,,,,,,,,,,
,tf,NFO,64012,431.85,28.62,1703044771,,535260,432.40,433.35,,30,,,,
,tf,NFO,64012,431.85,28.62,1703044771,,535260,432.40,433.35,,30,,,,
,tf,NFO,64012,433.25,29.04,1703044771,,,,,,,,,,
,tf,NFO,64012,433.25,29.04,1703044771,,,,,,,,,,
,tf,NFO,64012,433.45,29.10,1703044772,,,,,,,,,,
,tf,NFO,64012,433.45,29.10,1703044772,,,,,,,,,,
,tf,NFO,64012,431.30,28.46,1703044773,,,,,,,,,,
,tf,NFO,64012,431.30,28.46,1703044773,,,,,,,,,,
,tf,NFO,64012,431.60,28.55,1703044774,,537555,431.05,432.15,,15,,,,
,tf,NFO,64012,431.60,28.55,1703044774,,537555,431.05,432.15,,15,,,,
,tf,NFO,64012,429.75,28.00,1703044776,,537675,429.10,430.20,120,150,,,,
,tf,NFO,64012,429.75,28.00,1703044776,,537675,429.10,430.20,120,150,,,,
,tf,NFO,64012,429.90,28.04,1703044777,,,,,,,,,,
,tf,NFO,64012,429.90,28.04,1703044777,,,,,,,,,,
,tf,NFO,64012,430.00,28.07,1703044777,,538140,428.80,429.90,135,45,,,,
,tf,NFO,64012,430.00,28.07,1703044777,,538140,428.80,429.90,135,45,,,,
,tf,NFO,64012,425.60,26.76,1703044778,,,,,,,,,,
,tf,NFO,64012,425.60,26.76,1703044778,,,,,,,,,,
,tf,NFO,64012,426.70,27.09,1703044780,,,,,,,,,,
,tf,NFO,64012,426.70,27.09,1703044780,,,,,,,,,,
,tf,NFO,64012,425.70,26.79,1703044781,,,,,,,,,,
,tf,NFO,64012,425.70,26.79,1703044781,,,,,,,,,,
,tf,NFO,64012,426.65,27.07,1703044782,,,,,,,,,,
,tf,NFO,64012,426.65,27.07,1703044782,,,,,,,,,,
,tf,NFO,64012,425.25,26.66,1703044783,,,,,,,,,,
,tf,NFO,64012,425.25,26.66,1703044783,,,,,,,,,,
,tf,NFO,64012,424.00,26.28,1703044784,429.59,542040,423.15,424.25,210,45,,,,
,tf,NFO,64012,424.00,26.28,1703044784,429.59,542040,423.15,424.25,210,45,,,,
,tf,NFO,64012,423.45,26.12,1703044785,,,,,,,,,,
,tf,NFO,64012,423.45,26.12,1703044785,,,,,,,,,,
,tf,NFO,64012,423.40,26.11,1703044786,,542205,423.35,424.20,75,120,,,,
,tf,NFO,64012,423.40,26.11,1703044786,,542205,423.35,424.20,75,120,,,,
,tf,NFO,64012,424.20,26.34,1703044787,,,,,,,,,,
